Order_ID,Date,Region,State,City,Channel,Category,Brand,SKU,Units_Sold,MRP,Discount_Pct,Selling_Price,Revenue,Distributor,Sales_Rep
ORD102906,2024-05-16,West,Maharashtra,Mumbai,Modern Trade,Personal Care,PureLather,Shampoo 200ml,12.0,75.2,2.6,73.24,878.88,Dist_07,Rep_031
ORD102114,2024-01-12,North,Punjab,Amritsar,General Trade,Beverages,MorningBrew,Juice 1L,9.0,67.72,13.7,58.44,525.96,Dist_08,Rep_018
ORD103165,2025-12-10,West,Gujarat,Surat,General Trade,Dairy,PureCow,Paneer 200g,10.0,78.08,8.3,71.6,716.0,Dist_03,Rep_021
ORD101990,2025-08-10,West,Maharashtra,Mumbai,General Trade,Dairy,MooGold,Milk 500ml,9.0,175.47,11.3,155.64,1400.76,Dist_12,Rep_021
ORD101863,2025-08-27,West,Gujarat,Surat,E-commerce,Personal Care,FreshDay,Shampoo 200ml,13.0,71.21,19.1,57.61,748.93,Dist_03,Rep_001
ORD103428,2025-06-26,South,Tamil Nadu,Chennai,Modern Trade,Home Care,SparkleHome,Detergent 1kg,13.0,233.82,7.6,216.05,2808.65,Dist_13,Rep_033
ORD101996,2024-06-13,West,Maharashtra,Nagpur,General Trade,Home Care,CleanEdge,Detergent 1kg,12.0,180.03,6.3,168.69,2024.28,Dist_02,Rep_013
ORD103060,2024-05-31,West,Maharashtra,Nagpur,E-commerce,Beverages,FizzUp,Cola 250ml,25.0,26.21,6.0,24.64,616.0,Dist_10,Rep_014
ORD102009,2024-09-13,North,Punjab,Amritsar,E-commerce,Beverages,ChillJuice,Cola 250ml,9.0,124.64,17.2,103.2,928.8,Dist_02,Rep_026
ORD102451,2025-02-01,West,Maharashtra,Pune,HoReCa,Beverages,ChillJuice,Juice 1L,10.0,74.2,0.0,74.2,742.0,Dist_02,Rep_034
ORD107595,2025-10-17,West,Maharashtra,Nagpur,General Trade,Personal Care,GlowSkin,Face Wash 100ml,19.0,224.57,18.8,182.35,3464.65,Dist_07,Rep_008
ORD102158,2024-05-25,Central,Madhya Pradesh,Indore,General Trade,Dairy,MooGold,Butter 100g,14.0,69.97,14.7,59.68,835.52,Dist_02,Rep_021
ORD102337,2024-03-26,West,Gujarat,SURAT,E-commerce,Dairy,MooGold,Paneer 200g,15.0,103.07,5.5,97.4,1461.0,Dist_08,Rep_008
ORD101801,2024-09-29,South,Karnataka,Mysuru,Modern Trade,Snacks,CrunchTime,Chips 52g,6.0,55.84,0.0,55.84,335.04,Dist_09,Rep_014
ORD100238,2024-05-01,Central,Madhya Pradesh,Indore,E-commerce,Home Care,SparkleHome,Floor Cleaner 1L,13.0,52.95,2.3,51.73,672.49,Dist_01,Rep_005
ORD106127,2025-12-10,West,Maharashtra,Pune,General Trade,Snacks,GoldenBite,Namkeen 200g,3.0,39.74,,37.16,111.48,Dist_03,
ORD104272,2025-11-01,North,UP,Noida,Modern Trade,Dairy,DairyFresh,Ice Cream 1L,7.0,301.08,17.7,247.79,1734.53,Dist_04,Rep_038
ORD106063,2025-05-01,West,Maharashtra,Nagpur,Modern Trade,Dairy,MooGold,Ice Cream 1L,18.0,215.35,1.8,211.47,3806.46,Dist_05,Rep_009
ORD100855,2024-05-09,Central,Madhya Pradesh,Bhopal,General Trade,Snacks,GoldenBite,Namkeen 200g,15.0,106.36,7.5,98.38,1475.7,Dist_03,Rep_039
ORD108827,2025-05-26,North,Delhi,New Delhi,General Trade,Beverages,MorningBrew,Cola 250ml,18.0,102.57,4.7,97.75,1759.5,Dist_02,Rep_014
ORD107657,2024-03-30,South,Karnataka,Bengaluru,General Trade,Dairy,DairyFresh,Milk 500ml,11.0,31.34,5.2,29.71,326.81,Dist_09,Rep_018
ORD106413,2024-05-03,North,UP,Lucknow,General Trade,Personal Care,PureLather,Toothpaste 150g,10.0,206.24,0.1,206.03,2060.3,Dist_11,Rep_021
ORD103622,2024-05-22,West,Gujarat,SURAT,Modern Trade,Beverages,ChillJuice,Cola 250ml,14.0,131.65,20.5,104.66,1465.24,Dist_01,Rep_004
ORD107599,2025-06-16,South,Karnataka,Mysuru,Modern Trade,Personal Care,GlowSkin,Shampoo 200ml,18.0,153.82,15.0,130.75,2353.5,Dist_08,Rep_018
ORD106947,2024-08-12,North,UP,Kanpur,General Trade,Beverages,MorningBrew,Cola 250ml,10.0,123.65,10.0,111.29,1112.9,Dist_12,Rep_026
ORD107704,2025-10-19,North,UP,kanpur,General Trade,Personal Care,PureLather,Toothpaste 150g,,191.87,,186.69,1120.14,Dist_13,
ORD104733,2025-06-18,North,UP,Lucknow,General Trade,Beverages,FizzUp,Energy Drink 300ml,16.0,62.41,11.4,55.3,884.8,Dist_05,Rep_034
ORD106418,2025-03-06,North,Punjab,Amritsar,Modern Trade,Snacks,GoldenBite,Chips 52g,9.0,92.14,13.3,79.89,719.01,Dist_03,Rep_028
ORD108611,2025-09-20,Central,Chhattisgarh,Raipur,General Trade,Snacks,MunchWell,Cookies 100g,18.0,14.47,9.8,13.05,234.9,Dist_02,Rep_035
ORD107639,2024-11-21,Central,Madhya Pradesh,bhopal,Modern Trade,Snacks,MunchWell,Cookies 100g,18.0,50.86,7.2,47.2,849.6,Dist_06,Rep_027
ORD102113,2025-03-31,South,Tamil Nadu,Chennai,General Trade,Personal Care,FreshDay,Soap 100g,14.0,179.77,0.0,179.77,2516.78,Dist_08,Rep_004
ORD103227,2024-12-18,South,Tamil Nadu,Chennai,General Trade,Home Care,SparkleHome,Dishwash 500ml,10.0,242.96,0.0,242.96,2429.6,Dist_07,Rep_017
ORD106139,2025-12-29,South,Tamil Nadu,Chennai,Modern Trade,Snacks,MunchWell,Biscuits 150g,8.0,34.1,3.0,33.08,264.64,Dist_04,Rep_027
